,studyName,Date,Island,Colony,Time,Sample Number,Bird Weight (g),Sex,Culmen Length (mm),Culmen Depth (mm),Sample Weight (g),E. superba Weight (g),Number of E. superba,T. macrura Weight (g),Number of T. macrura,Fish Weight (g),Number of Fish,year,month
220,PAL9798,1998-01-21,TOR,23,1830,97016,4200,F,36.8,16.5,240.0,420.0,707,0.0,0,0.0,0,1998,1
221,PAL9798,1998-01-21,TOR,23,1830,97017,3950,F,36.1,17.6,202.0,522.0,673,0.0,0,0.0,0,1998,1
222,PAL9798,1998-01-21,TOR,23,1830,97018,4600,M,39.8,18.8,235.0,455.0,673,0.0,0,0.0,0,1998,1
223,PAL9798,1998-01-21,TOR,23,1830,97019,4600,F,37.3,18.4,265.0,485.0,964,0.0,0,0.0,0,1998,1
224,PAL9798,1998-01-21,TOR,23,1830,97020,4100,F,37.5,17.6,200.0,550.0,722,0.0,0,0.0,0,1998,1
225,PAL9798,1998-01-26,TOR,23,1800,97021,4200,M,38.9,17.3,195.0,365.0,498,0.0,0,0.0,0,1998,1
226,PAL9798,1998-01-26,TOR,23,1800,97022,4350,F,35.0,18.4,187.0,437.0,907,0.0,0,0.0,0,1998,1
227,PAL9798,1998-01-26,TOR,23,1800,97023,4200,F,35.9,15.8,238.0,238.0,849,0.0,0,0.0,0,1998,1
228,PAL9798,1998-01-26,TOR,23,1800,97024,3950,M,39.0,17.6,142.0,342.0,455,0.0,0,0.0,0,1998,1
229,PAL9798,1998-01-26,TOR,23,1800,97025,4450,F,34.9,16.2,275.0,305.0,1372,0.0,0,0.0,0,1998,1
230,PAL9798,1998-01-31,TOR,23,1800,97026,4200,M,38.6,17.9,153.0,278.0,464,0.0,0,0.0,0,1998,1
231,PAL9798,1998-01-31,TOR,23,1800,97027,4600,M,38.9,19.9,182.0,342.0,609,0.0,0,0.0,0,1998,1
232,PAL9798,1998-01-31,TOR,23,1800,97028,4700,M,37.1,19.4,221.0,220.0,684,0.0,0,0.0,0,1998,1
233,PAL9798,1998-01-31,TOR,23,1800,97029,4200,F,35.8,17.5,164.0,289.0,481,0.0,0,0.0,0,1998,1
234,PAL9798,1998-01-31,TOR,23,1800,97030,3900,F,36.8,19.8,222.0,546.0,610,0.0,0,0.0,0,1998,1
235,PAL9798,1998-02-05,TOR,23,1830,97031,4400,M,34.9,17.3,286.0,441.0,868,0.0,0,0.0,0,1998,2
236,PAL9798,1998-02-05,TOR,23,1830,97032,4000,F,38.0,17.3,196.0,306.0,567,0.0,0,0.0,0,1998,2
237,PAL9798,1998-02-05,TOR,23,1830,97033,4150,M,39.1,18.2,249.0,503.0,686,0.0,0,0.0,0,1998,2
238,PAL9798,1998-02-05,TOR,23,1830,97034,4100,M,38.0,18.4,330.0,390.0,1143,0.0,0,0.0,0,1998,2
239,PAL9798,1998-02-05,TOR,23,1830,97035,3750,M,40.9,16.3,176.0,205.0,585,0.0,0,0.0,0,1998,2
240,PAL9798,1998-02-10,TOR,23,1800,97036,4200,M,39.8,17.8,180.0,340.0,401,0.0,0,0.0,0,1998,2
241,PAL9798,1998-02-10,TOR,23,1800,97037,4850,M,41.3,18.9,272.0,448.0,693,99.0,1188,0.0,0,1998,2
242,PAL9798,1998-02-10,TOR,23,1800,97038,4250,F,34.6,16.4,196.0,193.0,282,128.0,1536,0.0,0,1998,2
243,PAL9798,1998-02-10,TOR,23,1800,97039,4000,F,36.2,17.6,107.0,457.0,479,0.0,0,0.0,0,1998,2
244,PAL9798,1998-02-10,TOR,23,1800,97040,3900,F,37.1,17.2,175.0,500.0,462,0.0,0,0.0,0,1998,2
245,PAL9798,1998-02-15,TOR,23,1800,97041,3850,F,37.1,18.1,228.0,318.0,638,0.0,0,0.0,0,1998,2
246,PAL9798,1998-02-15,TOR,23,1800,97042,4200,M,40.0,18.2,218.0,343.0,685,0.0,0,0.0,0,1998,2
247,PAL9798,1998-02-15,TOR,23,1800,97043,3750,F,35.3,16.0,229.0,404.0,640,0.0,0,0.0,0,1998,2
248,PAL9798,1998-02-15,TOR,23,1800,97044,4050,F,37.9,17.4,239.0,364.0,718,0.0,0,0.0,0,1998,2
249,PAL9798,1998-02-15,TOR,23,1800,97045,4600,M,39.5,17.1,363.0,387.0,995,0.0,0,1.0,1,1998,2
250,PAL9798,1998-02-20,TOR,23,1700,97046,5500,M,39.5,17.8,240.0,289.0,577,0.0,0,1.0,1,1998,2
251,PAL9798,1998-02-20,TOR,23,1700,97047,5000,M,39.4,19.6,126.0,126.0,372,0.0,0,0.0,0,1998,2
252,PAL9798,1998-02-20,TOR,23,1700,97048,4450,F,38.5,19.0,253.0,368.0,659,0.0,0,10.0,1,1998,2
253,PAL9798,1998-02-20,TOR,23,1700,97049,4900,M,42.5,20.2,175.0,200.0,447,0.0,0,0.0,0,1998,2
254,PAL9798,1998-02-20,TOR,23,1700,97050,4050,F,38.0,18.1,192.0,397.0,532,0.0,0,0.0,0,1998,2
255,PAL9899,1999-01-06,TOR,23,1930,98001,4550,F,33.5,17.5,154.0,404.0,500,0.0,0,0.0,0,1999,1
256,PAL9899,1999-01-06,TOR,23,1930,98002,3850,F,37.4,17.4,148.0,413.0,436,0.0,0,0.0,0,1999,1
257,PAL9899,1999-01-06,TOR,23,1930,98003,4050,F,37.2,18.1,199.0,379.0,668,0.0,0,0.0,0,1999,1
258,PAL9899,1999-01-06,TOR,23,1930,98004,4400,F,38.0,18.1,180.0,205.0,402,0.0,0,0.0,0,1999,1
259,PAL9899,1999-01-06,TOR,23,1930,98005,4300,M,38.0,19.6,144.0,285.0,435,0.0,0,0.0,0,1999,1
260,PAL9899,1999-01-11,TOR,23,2000,98006,4300,F,36.5,17.5,208.0,398.0,627,0.0,0,0.0,0,1999,1
261,PAL9899,1999-01-11,TOR,23,2000,98007,3550,F,36.9,16.8,139.0,244.0,443,0.0,0,0.0,0,1999,1
262,PAL9899,1999-01-11,TOR,23,2000,98008,3700,F,36.9,17.3,161.0,316.0,433,0.0,0,0.0,0,1999,1
263,PAL9899,1999-01-11,TOR,23,2000,98009,3850,F,36.7,16.0,210.0,340.0,520,0.0,0,0.0,0,1999,1
264,PAL9899,1999-01-11,TOR,23,2000,98010,4150,M,37.7,18.0,139.0,279.0,325,0.0,0,0.0,0,1999,1
265,PAL9899,1999-01-16,TOR,23,2000,98011,3750,F,36.2,17.0,204.0,394.0,614,0.0,0,0.0,0,1999,1
266,PAL9899,1999-01-16,TOR,23,2000,98012,4050,F,32.7,17.7,173.0,573.0,499,0.0,0,0.0,0,1999,1
267,PAL9899,1999-01-16,TOR,23,2000,98013,4650,M,42.3,17.6,197.0,312.0,555,30.0,330,0.0,0,1999,1
268,PAL9899,1999-01-16,TOR,23,2000,98014,4200,M,40.2,16.1,276.0,401.0,618,0.0,0,0.0,0,1999,1
269,PAL9899,1999-01-16,TOR,23,2000,98015,4050,F,34.5,17.3,166.0,336.0,473,0.0,0,0.0,0,1999,1
270,PAL9899,1999-01-21,TOR,23,1730,98016,4000,F,35.2,16.7,206.0,185.0,499,70.0,770,1.0,1,1999,1
271,PAL9899,1999-01-21,TOR,23,1730,98017,5500,M,37.7,17.4,257.0,357.0,731,0.0,0,0.0,0,1999,1
272,PAL9899,1999-01-21,TOR,23,1730,98018,3800,F,35.0,17.5,153.0,343.0,485,0.0,0,0.0,0,1999,1
273,PAL9899,1999-01-21,TOR,23,1730,98019,4900,M,40.5,18.9,159.0,259.0,371,0.0,0,0.0,0,1999,1
274,PAL9899,1999-01-21,TOR,23,1730,98020,5500,M,38.3,18.0,240.0,640.0,447,0.0,0,0.0,0,1999,1
275,PAL9899,1999-01-26,TOR,23,1730,98021,4000,F,36.5,18.7,160.0,310.0,387,0.0,0,0.0,0,1999,1
276,PAL9899,1999-01-26,TOR,23,1730,98022,3950,F,38.5,16.5,249.0,364.0,629,0.0,0,0.0,0,1999,1
277,PAL9899,1999-01-26,TOR,23,1730,98023,3850,F,34.9,16.7,146.0,321.0,355,0.0,0,0.0,0,1999,1
278,PAL9899,1999-01-26,TOR,23,1730,98024,3750,F,34.6,16.4,208.0,358.0,695,0.0,0,0.0,0,1999,1
279,PAL9899,1999-01-26,TOR,23,1730,98025,4100,M,39.8,17.7,225.0,450.0,603,0.0,0,0.0,0,1999,1
280,PAL9899,1999-02-01,TOR,23,1800,98026,4800,M,40.7,19.0,263.0,368.0,510,0.0,0,0.0,0,1999,2
281,PAL9899,1999-02-01,TOR,23,1800,98027,4500,M,40.8,16.9,183.0,393.0,434,0.0,0,0.0,0,1999,2
282,PAL9899,1999-02-01,TOR,23,1800,98028,3550,F,35.3,17.0,318.0,452.0,938,0.0,0,0.0,0,1999,2
283,PAL9899,1999-02-01,TOR,23,1800,98029,4400,M,41.5,19.6,207.0,357.0,553,0.0,0,0.0,0,1999,2
284,PAL9899,1999-02-01,TOR,23,1800,98030,3850,F,36.3,15.5,272.0,442.0,640,0.0,0,0.0,0,1999,2
285,PAL9899,1999-02-05,TOR,23,1715,98031,5250,M,41.5,19.8,204.0,204.0,476,0.0,0,0.0,0,1999,2
286,PAL9899,1999-02-05,TOR,23,1715,98032,4000,F,37.5,18.3,218.0,388.0,544,0.0,0,0.0,0,1999,2
287,PAL9899,1999-02-05,TOR,23,1715,98033,4300,M,39.1,18.4,136.0,241.0,344,0.0,0,0.0,0,1999,2
288,PAL9899,1999-02-05,TOR,23,1715,98034,3850,F,33.4,15.7,138.0,263.0,305,0.0,0,0.0,0,1999,2
289,PAL9899,1999-02-05,TOR,23,1715,98035,4350,F,33.7,16.1,152.0,297.0,335,0.0,0,0.0,0,1999,2
290,PAL9899,1999-02-11,TOR,23,1730,98036,4250,F,35.0,18.5,451.0,501.0,928,0.0,0,0.0,0,1999,2
291,PAL9899,1999-02-11,TOR,23,1730,98037,4450,M,38.0,18.5,258.0,393.0,544,0.0,0,0.0,0,1999,2
292,PAL9899,1999-02-11,TOR,23,1730,98038,4750,M,38.3,18.0,245.0,320.0,481,0.0,0,0.0,0,1999,2
293,PAL9899,1999-02-11,TOR,23,1730,98039,4800,M,40.3,19.0,279.0,469.0,507,0.0,0,0.0,0,1999,2
294,PAL9899,1999-02-11,TOR,23,1730,98040,4550,M,39.4,18.0,181.0,296.0,411,0.0,0,0.0,0,1999,2
295,PAL9899,1999-02-16,TOR,23,1700,98041,4050,F,37.3,16.3,268.0,528.0,536,0.0,0,0.0,0,1999,2
296,PAL9899,1999-02-16,TOR,23,1700,98042,6000,M,41.8,17.5,116.0,116.0,243,0.0,0,0.0,0,1999,2
297,PAL9899,1999-02-16,TOR,23,1700,98043,5200,M,39.8,18.1,149.0,249.0,282,0.0,0,0.0,0,1999,2
298,PAL9899,1999-02-16,TOR,23,1700,98044,5500,M,40.2,18.7,230.0,230.0,512,0.0,0,0.0,0,1999,2
299,PAL9899,1999-02-16,TOR,23,1700,98045,5500,F,37.7,17.5,211.0,261.0,445,0.0,0,0.0,0,1999,2
300,PAL9900,2000-01-09,TOR,23,1900,99001,4200,M,39.1,18.9,189.0,419.0,335,0.0,0,0.0,0,2000,1
301,PAL9900,2000-01-09,TOR,23,1900,99002,4600,F,34.7,18.5,120.0,120.0,208,0.0,0,0.0,0,2000,1
302,PAL9900,2000-01-09,TOR,23,1900,99003,4950,M,39.0,20.0,224.0,274.0,432,0.0,0,0.0,0,2000,1
303,PAL9900,2000-01-09,TOR,23,1900,99004,4250,F,37.3,18.2,199.0,284.0,391,0.0,0,0.0,0,2000,1
304,PAL9900,2000-01-09,TOR,23,1900,99005,4100,F,37.1,20.1,211.0,211.0,420,0.0,0,0.0,0,2000,1
305,PAL9900,2000-01-13,TOR,23,1800,99006,3950,F,38.0,17.3,294.0,294.0,428,0.0,0,0.0,0,2000,1
306,PAL9900,2000-01-13,TOR,23,1800,99007,3750,F,36.9,17.0,129.0,129.0,189,0.0,0,0.0,0,2000,1
307,PAL9900,2000-01-13,TOR,23,1800,99008,4150,F,34.4,17.2,285.0,577.0,549,0.0,0,0.0,0,2000,1
308,PAL9900,2000-01-13,TOR,23,1800,99009,4000,F,36.3,15.9,142.0,245.0,282,0.0,0,0.0,0,2000,1
309,PAL9900,2000-01-13,TOR,23,1800,99010,4950,M,39.5,19.7,245.0,585.0,331,0.0,0,0.0,0,2000,1
310,PAL9900,2000-01-18,TOR,23,1830,99011,3850,F,34.0,18.8,206.0,286.0,287,0.0,0,0.0,0,2000,1
311,PAL9900,2000-01-18,TOR,23,1830,99012,4250,M,37.2,18.2,254.0,454.0,395,0.0,0,0.0,0,2000,1
312,PAL9900,2000-01-18,TOR,23,1830,99013,4050,F,35.7,17.8,153.0,333.0,219,0.0,0,0.0,0,2000,1
313,PAL9900,2000-01-18,TOR,23,1830,99014,4350,M,40.2,19.5,157.0,312.0,348,0.0,0,0.0,0,2000,1
314,PAL9900,2000-01-18,TOR,23,1830,99015,4750,F,31.6,16.0,195.0,315.0,239,0.0,0,0.0,0,2000,1
315,PAL9900,2000-01-25,TOR,23,1800,99016,4050,M,39.7,16.6,208.0,208.0,356,0.0,0,0.0,0,2000,1
316,PAL9900,2000-01-25,TOR,23,1800,99017,3750,F,38.3,15.8,221.0,221.0,418,0.0,0,0.0,0,2000,1
317,PAL9900,2000-01-25,TOR,23,1800,99018,4400,F,34.4,16.4,151.0,231.0,237,0.0,0,0.0,0,2000,1
318,PAL9900,2000-01-25,TOR,23,1800,99019,4100,F,36.6,17.3,114.0,174.0,196,0.0,0,0.0,0,2000,1
319,PAL9900,2000-01-25,TOR,23,1800,99020,4450,M,38.5,17.9,160.0,305.0,297,0.0,0,0.0,0,2000,1
320,PAL9900,2000-01-29,TOR,23,1800,99021,3850,F,36.0,16.7,133.0,218.0,275,0.0,0,0.0,0,2000,1
321,PAL9900,2000-01-29,TOR,23,1800,99022,4850,M,36.1,18.9,161.0,161.0,308,0.0,0,0.0,0,2000,1
322,PAL9900,2000-01-29,TOR,23,1800,99023,4600,M,38.8,18.2,261.0,381.0,447,0.0,0,0.0,0,2000,1
323,PAL9900,2000-01-29,TOR,23,1800,99024,3850,F,36.6,19.5,180.0,229.0,286,0.0,0,1.0,1,2000,1
324,PAL9900,2000-01-29,TOR,23,1800,99025,4700,M,43.5,19.5,349.0,349.0,578,0.0,0,0.0,0,2000,1
325,PAL9900,2000-02-04,TOR,23,1800,99026,4250,M,38.9,19.8,90.0,89.0,116,0.0,0,1.0,1,2000,2
326,PAL9900,2000-02-04,TOR,23,1800,99027,4400,F,35.1,17.6,168.0,503.0,337,0.0,0,0.0,0,2000,2
327,PAL9900,2000-02-04,TOR,23,1800,99028,3950,F,34.1,20.0,214.0,213.0,281,0.0,0,1.0,1,2000,2
328,PAL9900,2000-02-04,TOR,23,1800,99029,4600,M,39.8,18.6,235.0,235.0,504,0.0,0,0.0,0,2000,2
329,PAL9900,2000-02-04,TOR,23,1800,99030,4550,F,38.0,19.4,195.0,193.0,265,0.0,0,2.0,1,2000,2
330,PAL9900,2000-02-07,TOR,23,1830,99031,4500,M,38.7,19.0,175.0,265.0,298,1.0,8,4.0,1,2000,2
331,PAL9900,2000-02-07,TOR,23,1830,99032,4200,F,34.5,16.1,198.0,198.0,351,0.0,0,0.0,0,2000,2
332,PAL9900,2000-02-07,TOR,23,1830,99033,3950,M,40.3,18.6,272.0,449.0,459,0.0,0,3.0,1,2000,2
333,PAL9900,2000-02-07,TOR,23,1830,99034,4500,M,41.2,20.7,273.0,438.0,471,0.0,0,0.0,0,2000,2
334,PAL9900,2000-02-07,TOR,23,1830,99035,5400,M,37.6,19.6,206.0,231.0,385,0.0,0,0.0,0,2000,2
335,PAL9900,2000-02-11,TOR,23,1800,99036,4700,M,44.5,20.3,248.0,448.0,423,0.0,0,0.0,0,2000,2
336,PAL9900,2000-02-11,TOR,23,1800,99037,4450,M,42.0,19.5,230.0,395.0,433,0.0,0,0.0,0,2000,2
337,PAL9900,2000-02-11,TOR,23,1800,99038,4550,M,42.7,18.9,243.0,323.0,432,0.0,0,0.0,0,2000,2
338,PAL9900,2000-02-11,TOR,23,1800,99039,4400,F,39.1,18.3,280.0,455.0,437,0.0,0,0.0,0,2000,2
339,PAL9900,2000-02-11,TOR,23,1800,99040,3900,F,36.3,16.7,257.0,417.0,449,0.0,0,0.0,0,2000,2
340,PAL0001,2000-12-27,TOR,23,1900,1,4000,F,37.9,20.5,134.0,329.0,380,0.0,0,0.0,0,2000,12
341,PAL0001,2000-12-27,TOR,23,1900,2,4200,F,36.1,17.6,92.0,112.0,143,0.0,0,0.0,0,2000,12
342,PAL0001,2000-12-27,TOR,23,1900,3,5200,M,36.1,18.3,246.0,326.0,451,0.0,0,0.0,0,2000,12
343,PAL0001,2000-12-27,TOR,23,1900,4,3500,F,37.4,18.1,77.0,76.0,96,0.0,0,0.0,0,2000,12
344,PAL0001,2000-12-27,TOR,23,1900,5,4100,F,36.8,18.5,256.0,361.0,617,0.0,0,0.0,0,2000,12
345,PAL0001,2001-01-09,TOR,23,1030,6,4700,M,40.2,21.3,261.0,446.0,603,0.0,0,0.0,0,2001,1
346,PAL0001,2001-01-09,TOR,23,1030,7,4300,F,35.2,18.4,198.0,346.0,367,0.0,0,2.0,1,2001,1
347,PAL0001,2001-01-09,TOR,23,1030,8,3750,F,33.6,16.2,186.0,411.0,408,0.0,0,0.0,0,2001,1
348,PAL0001,2001-01-09,TOR,23,1030,9,4300,M,38.9,17.8,283.0,473.0,509,0.0,0,0.0,0,2001,1
349,PAL0001,2001-01-09,TOR,23,1030,10,4800,M,38.4,18.7,280.0,530.0,516,0.0,0,5.0,1,2001,1
350,PAL0001,2001-01-12,TOR,23,1830,11,4350,F,36.3,17.1,258.0,120.0,112,138.0,3820,0.0,0,2001,1
351,PAL0001,2001-01-12,TOR,23,1830,12,4700,F,36.8,18.5,48.0,48.0,48,0.0,0,0.0,0,2001,1
352,PAL0001,2001-01-12,TOR,23,1830,13,4000,F,37.2,18.4,263.0,254.0,309,0.0,0,9.0,1,2001,1
353,PAL0001,2001-01-12,TOR,23,1830,14,3750,F,36.6,16.4,179.0,229.0,439,0.0,0,0.0,0,2001,1
354,PAL0001,2001-01-12,TOR,23,1830,15,3400,F,35.8,18.4,239.0,236.0,236,0.0,0,1.0,1,2001,1
355,PAL0001,2001-01-18,TOR,23,1900,16,4700,M,41.1,18.4,302.0,517.0,275,0.0,0,0.0,0,2001,1
356,PAL0001,2001-01-18,TOR,23,1900,17,4200,M,42.0,18.3,170.0,345.0,114,0.0,0,0.0,0,2001,1
357,PAL0001,2001-01-18,TOR,23,1900,18,3500,F,35.6,19.4,166.0,425.0,211,0.0,0,1.0,1,2001,1
358,PAL0001,2001-01-18,TOR,23,1900,19,4100,M,41.2,20.9,148.0,148.0,214,0.0,0,0.0,0,2001,1
359,PAL0001,2001-01-18,TOR,23,1900,20,4200,F,39.0,18.3,256.0,256.0,409,0.0,0,0.0,0,2001,1
360,PAL0001,2001-01-24,TOR,23,1730,21,4700,M,41.1,18.4,180.0,205.0,381,0.0,0,0.0,0,2001,1
361,PAL0001,2001-01-24,TOR,23,1730,22,4200,M,42.0,18.3,216.0,275.0,251,0.0,0,1.0,1,2001,1
362,PAL0001,2001-01-24,TOR,23,1730,23,3500,F,35.6,19.4,204.0,176.0,219,88.0,1232,3.0,1,2001,1
363,PAL0001,2001-01-24,TOR,23,1730,24,4100,M,41.2,20.9,188.0,283.0,214,0.0,0,0.0,0,2001,1
364,PAL0001,2001-01-24,TOR,23,1730,25,4200,F,39.0,18.3,141.0,140.0,167,0.0,0,1.0,1,2001,1
365,PAL0001,2001-01-30,TOR,23,1930,26,4250,F,35.8,18.7,316.0,621.0,781,0.0,0,0.0,0,2001,1
366,PAL0001,2001-01-30,TOR,23,1930,27,4600,M,41.3,18.0,267.0,104.0,101,313.0,2504,5.0,1,2001,1
367,PAL0001,2001-01-30,TOR,23,1930,28,4000,F,35.9,18.5,516.0,706.0,548,0.0,0,0.0,0,2001,1
368,PAL0001,2001-01-30,TOR,23,1930,29,4100,F,35.0,17.8,193.0,8.0,11,348.0,2784,1.0,1,2001,1
369,PAL0001,2001-01-30,TOR,23,1930,30,3250,F,35.0,16.9,298.0,508.0,334,0.0,0,0.0,0,2001,1
370,PAL0001,2001-02-03,TOR,23,1800,31,4550,M,40.3,17.3,100.0,94.0,98,1.0,6,3.0,1,2001,2
371,PAL0001,2001-02-03,TOR,23,1800,32,4100,F,34.7,18.5,226.0,200.0,417,24.0,208,1.0,1,2001,2
372,PAL0001,2001-02-03,TOR,23,1800,33,3950,M,38.4,19.3,154.0,146.0,140,120.0,790,4.0,1,2001,2
373,PAL0001,2001-02-03,TOR,23,1800,34,3900,F,36.8,16.0,75.0,380.0,94,1.0,8,3.0,1,2001,2
374,PAL0001,2001-02-03,TOR,23,1800,35,4250,M,39.0,18.4,198.0,392.0,892,0.0,0,1.0,1,2001,2
375,PAL0001,2001-02-10,TOR,23,1800,36,3800,F,38.8,18.0,326.0,636.0,926,0.0,0,5.0,1,2001,2
376,PAL0001,2001-02-10,TOR,23,1800,37,3800,F,35.0,19.5,223.0,542.0,326,0.0,0,1.0,1,2001,2
377,PAL0001,2001-02-10,TOR,23,1800,38,4900,M,39.2,19.0,176.0,315.0,223,0.0,0,0.0,0,2001,2
378,PAL0001,2001-02-10,TOR,23,1800,39,3650,F,34.9,20.2,241.0,238.0,740,0.0,0,3.0,1,2001,2
379,PAL0001,2001-02-10,TOR,23,1800,40,3750,F,38.8,16.9,146.0,846.0,135,0.0,0,0.0,0,2001,2
380,PAL0001,2001-02-15,TOR,23,1800,41,4000,M,41.7,17.3,275.0,425.0,403,0.0,0,0.0,0,2001,2
381,PAL0001,2001-02-15,TOR,23,1800,42,4650,M,40.9,18.3,314.0,618.0,356,0.0,0,1.0,1,2001,2
382,PAL0001,2001-02-15,TOR,23,1800,43,3900,F,38.2,17.3,173.0,334.0,194,0.0,0,4.0,1,2001,2
383,PAL0001,2001-02-15,TOR,23,1800,44,4250,F,38.5,17.1,240.0,288.0,351,0.0,0,1.0,1,2001,2
384,PAL0001,2001-02-15,TOR,23,1800,45,4300,F,38.0,16.7,302.0,352.0,384,0.0,0,0.0,0,2001,2
385,PAL0102,2001-12-05,TOR,23,1825,1001,4000,F,37.8,17.8,37.0,47.0,112,0.0,0,0.0,0,2001,12
386,PAL0102,2001-12-05,TOR,23,1825,1002,3600,F,36.2,19.3,74.0,85.0,288,0.0,0,0.0,0,2001,12
387,PAL0102,2001-12-05,TOR,23,1825,1003,3900,F,37.6,18.4,0.0,0.0,0,0.0,0,0.0,0,2001,12
388,PAL0102,2001-12-05,TOR,23,1825,1004,4900,M,38.0,20.6,33.0,33.0,64,0.0,0,0.0,0,2001,12
389,PAL0102,2001-12-28,TOR,23,1800,1005,4300,M,41.0,19.8,262.0,296.0,636,0.0,0,6.0,0,2001,12
390,PAL0102,2001-12-28,TOR,23,1800,1006,4100,F,35.7,20.1,151.0,146.0,211,0.0,0,5.0,0,2001,12
391,PAL0102,2001-12-28,TOR,23,1800,1007,5000,M,37.7,20.8,115.0,185.0,228,0.0,0,10.0,0,2001,12
392,PAL0102,2001-12-28,TOR,23,1800,1008,4650,M,40.4,20.2,30.0,17.0,34,0.0,0,5.0,0,2001,12
393,PAL0102,2001-12-28,TOR,23,1800,1009,4200,M,39.5,19.5,126.0,137.0,216,0.0,0,1.0,0,2001,12
394,PAL0102,2002-01-07,TOR,23,1100,1010,4300,F,36.8,19.9,0.0,0.0,0,0.0,0,0.0,0,2002,1
395,PAL0102,2002-01-07,TOR,23,1100,1011,4700,M,40.1,20.0,368.0,368.0,1147,0.0,0,0.0,0,2002,1
396,PAL0102,2002-01-07,TOR,23,1100,1012,4300,M,38.1,18.1,241.0,295.0,874,0.0,0,0.0,0,2002,1
397,PAL0102,2002-01-07,TOR,23,1100,1013,4250,M,40.7,20.1,167.0,223.0,485,0.0,0,12.0,0,2002,1
398,PAL0102,2002-01-07,TOR,23,1100,1014,4700,M,37.5,19.2,170.0,330.0,680,0.0,0,0.0,0,2002,1
399,PAL0102,2002-01-15,TOR,23,2100,1015,4350,M,40.9,20.0,226.0,225.0,1374,0.0,0,1.0,0,2002,1
400,PAL0102,2002-01-15,TOR,23,2100,1016,4650,M,42.3,19.6,197.0,442.0,847,0.0,0,0.0,0,2002,1
401,PAL0102,2002-01-15,TOR,23,2100,1017,3850,M,40.9,18.6,115.0,225.0,164,0.0,0,0.0,0,2002,1
402,PAL0102,2002-01-15,TOR,23,2100,1018,4600,F,35.9,19.2,365.0,363.0,747,0.0,0,2.0,0,2002,1
403,PAL0102,2002-01-15,TOR,23,2100,1019,3950,M,40.6,17.9,323.0,372.0,1002,0.0,0,1.0,0,2002,1
404,PAL0102,2002-01-21,TOR,23,1830,1020,4050,F,36.8,17.5,85.0,356.0,117,0.0,0,4.0,0,2002,1
405,PAL0102,2002-01-21,TOR,23,1830,1021,4250,F,36.1,20.1,84.0,71.0,101,3.0,18,10.0,0,2002,1
406,PAL0102,2002-01-21,TOR,23,1830,1022,3550,F,34.3,17.0,156.0,471.0,187,0.0,0,25.0,0,2002,1
407,PAL0102,2002-01-21,TOR,23,1830,1023,4000,M,40.4,20.0,237.0,807.0,487,0.0,0,50.0,0,2002,1
408,PAL0102,2002-01-21,TOR,23,1830,1024,4000,F,37.9,19.9,116.0,191.0,253,0.0,0,0.0,0,2002,1
409,PAL0102,2002-01-31,TOR,23,1930,1025,4650,M,42.3,18.0,173.0,320.0,435,0.0,0,23.0,0,2002,1
410,PAL0102,2002-01-31,TOR,23,1930,1026,4450,M,39.7,18.7,213.0,102.0,150,0.0,0,110.0,0,2002,1
411,PAL0102,2002-01-31,TOR,23,1930,1027,4450,M,38.0,22.0,256.0,383.0,434,0.0,0,108.0,0,2002,1
412,PAL0102,2002-01-31,TOR,23,1930,1028,3400,F,35.3,17.9,112.0,45.0,45,2.0,12,65.0,0,2002,1
413,PAL0102,2002-01-31,TOR,23,1930,1029,4250,F,36.0,16.5,265.0,248.0,260,8.0,48,125.0,0,2002,1
414,PAL0102,2002-02-09,HUM,BCH,1900,1030,4150,M,41.4,18.0,153.0,17.0,7,0.0,0,136.0,0,2002,2
415,PAL0102,2002-02-09,HUM,BCH,1900,1031,4050,F,36.2,18.7,495.0,325.0,438,0.0,0,158.0,0,2002,2
416,PAL0102,2002-02-09,HUM,BCH,1900,1032,4450,M,38.6,19.5,216.0,293.0,126,0.0,0,59.0,0,2002,2
417,PAL0102,2002-02-09,HUM,BCH,1900,1033,4400,M,37.5,18.6,261.0,526.0,891,0.0,0,5.0,0,2002,2
418,PAL0102,2002-02-09,HUM,BCH,1900,1034,4350,M,41.4,20.4,485.0,357.0,1014,0.0,0,238.0,0,2002,2
419,PAL0102,2002-02-22,HUM,BCH,1900,1035,5000,F,36.1,17.7,120.0,96.0,309,3.0,18,20.0,0,2002,2
420,PAL0102,2002-02-22,HUM,BCH,1900,1036,4300,M,37.2,17.7,0.0,40.0,0,0.0,0,10.0,0,2002,2
421,PAL0102,2002-02-22,HUM,BCH,1900,1037,4750,M,38.8,18.7,245.0,240.0,620,0.0,0,5.0,0,2002,2
422,PAL0203,2002-12-10,TOR,BCH,1800,2001,4500,M,39.8,19.7,105.0,190.0,427,0.0,0,0.0,0,2002,12
423,PAL0203,2002-12-10,TOR,BCH,1800,2002,4700,M,40.2,19.4,194.0,303.0,679,0.0,0,1.0,1,2002,12
424,PAL0203,2002-12-10,TOR,BCH,1800,2003,5000,M,40.6,19.5,58.0,128.0,286,0.0,0,0.0,0,2002,12
425,PAL0203,2002-12-10,TOR,BCH,1800,2004,3650,M,37.2,18.7,146.0,220.0,646,0.0,0,0.0,0,2002,12
426,PAL0203,2002-12-10,TOR,BCH,1800,2005,4250,F,36.5,16.2,72.0,99.0,293,0.0,0,0.0,0,2002,12
