index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
30,92031,50,0,0,0,2,15,16,17,0,0,0,1993-02-14,1993,2
31,92032,48,0,0,0,9,19,18,1,1,0,0,1993-02-14,1993,2
32,92033,54,0,0,0,7,25,20,2,0,0,0,1993-02-14,1993,2
33,92034,48,0,0,1,13,15,13,4,2,0,0,1993-02-14,1993,2
34,92035,61,0,0,0,7,14,30,10,0,0,0,1993-02-14,1993,2
35,92036,50,0,0,0,4,10,31,5,0,0,0,1993-02-19,1993,2
36,92037,50,0,0,1,4,21,18,5,1,0,0,1993-02-19,1993,2
37,92038,53,0,0,0,2,11,30,9,1,0,0,1993-02-19,1993,2
38,92039,50,0,0,0,7,21,15,5,2,0,0,1993-02-19,1993,2
39,92040,78,0,0,0,1,18,26,30,3,0,0,1993-02-19,1993,2
40,93001,54,0,0,0,2,8,29,13,2,0,0,1994-01-11,1994,1
41,93002,50,0,0,0,1,21,23,5,0,0,0,1994-01-11,1994,1
42,93003,62,0,0,3,11,29,12,5,2,0,0,1994-01-11,1994,1
43,93004,54,0,0,0,5,24,25,0,0,0,0,1994-01-11,1994,1
44,93005,65,0,0,0,4,29,30,2,0,0,0,1994-01-11,1994,1
45,93006,54,0,0,2,7,24,18,3,0,0,0,1994-01-16,1994,1
46,93007,50,0,0,0,1,6,27,12,4,0,0,1994-01-16,1994,1
47,93008,53,0,0,1,6,28,18,0,0,0,0,1994-01-16,1994,1
48,93009,50,0,0,1,2,24,20,1,2,0,0,1994-01-16,1994,1
49,93010,58,0,0,0,1,10,32,14,1,0,0,1994-01-16,1994,1
50,93011,58,0,0,0,2,15,29,11,1,0,0,1994-01-21,1994,1
51,93012,63,0,0,0,3,17,28,13,2,0,0,1994-01-21,1994,1
52,93013,51,0,0,0,1,11,26,12,1,0,0,1994-01-21,1994,1
53,93014,51,0,0,1,2,15,23,8,2,0,0,1994-01-21,1994,1
54,93015,55,0,0,0,1,14,28,11,1,0,0,1994-01-21,1994,1
55,93016,58,0,0,0,3,27,19,9,0,0,0,1994-01-26,1994,1
56,93017,55,0,0,0,0,8,26,20,1,0,0,1994-01-26,1994,1
57,93018,51,0,0,0,0,17,32,2,0,0,0,1994-01-26,1994,1
58,93019,59,0,0,0,0,14,36,9,0,0,0,1994-01-26,1994,1
59,93020,50,0,0,0,3,30,16,1,0,0,0,1994-01-26,1994,1
60,93021,50,0,0,0,0,10,29,11,0,0,0,1994-02-01,1994,2
61,93022,74,0,0,0,1,12,35,25,1,0,0,1994-02-01,1994,2
62,93023,50,0,0,0,0,19,23,8,0,0,0,1994-02-01,1994,2
63,93024,62,0,0,0,0,5,22,26,9,0,0,1994-02-01,1994,2
64,93025,51,0,0,0,2,9,29,7,4,0,0,1994-02-01,1994,2
65,93026,65,0,0,0,0,8,39,14,4,0,0,1994-02-07,1994,2
66,93027,73,0,0,0,1,24,34,12,2,0,0,1994-02-07,1994,2
67,93028,50,0,0,0,1,1,30,15,3,0,0,1994-02-07,1994,2
68,93029,50,0,0,0,2,12,25,11,0,0,0,1994-02-07,1994,2
