index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
346,7,76,0,2,7,12,1,7,30,13,4,0,2001-01-09,2001,1
347,8,51,0,1,8,15,4,2,6,13,2,0,2001-01-09,2001,1
348,9,51,0,0,7,14,3,2,9,12,3,1,2001-01-09,2001,1
349,10,52,1,0,9,9,3,3,8,12,7,0,2001-01-09,2001,1
350,11,50,0,0,0,0,0,2,17,22,9,0,2001-01-12,2001,1
351,12,14,0,0,0,0,0,2,8,4,0,0,2001-01-12,2001,1
352,13,74,0,0,0,0,0,3,28,38,5,0,2001-01-12,2001,1
353,14,51,0,0,10,9,4,1,12,11,4,0,2001-01-12,2001,1
354,15,51,0,0,0,0,0,0,18,25,7,1,2001-01-12,2001,1
355,16,53,0,0,0,0,1,1,21,24,6,0,2001-01-18,2001,1
356,17,52,0,0,1,8,3,7,14,17,2,0,2001-01-18,2001,1
357,18,61,0,0,1,3,4,4,20,23,6,0,2001-01-18,2001,1
358,19,54,0,0,1,13,6,1,8,14,10,1,2001-01-18,2001,1
359,20,56,0,0,3,10,9,2,15,16,1,0,2001-01-18,2001,1
360,21,80,0,0,5,40,5,4,8,13,4,1,2001-01-24,2001,1
361,22,52,0,0,0,0,1,7,11,24,8,1,2001-01-24,2001,1
362,23,51,0,0,0,0,3,2,18,23,5,0,2001-01-24,2001,1
363,24,82,0,0,0,0,0,7,20,47,8,0,2001-01-24,2001,1
364,25,74,0,0,0,1,0,2,29,30,12,0,2001-01-24,2001,1
365,26,51,0,0,0,0,0,2,20,24,5,0,2001-01-30,2001,1
366,27,33,1,5,1,1,0,0,11,12,2,0,2001-01-30,2001,1
367,28,52,0,0,0,0,0,1,15,21,15,0,2001-01-30,2001,1
368,29,11,0,0,0,0,0,0,2,6,3,0,2001-01-30,2001,1
369,30,45,0,0,0,1,0,6,14,20,4,0,2001-01-30,2001,1
370,31,9,0,1,1,0,0,0,0,7,0,0,2001-02-03,2001,2
371,32,50,1,5,0,0,3,4,21,16,0,0,2001-02-03,2001,2
372,33,26,0,0,0,1,1,1,6,17,0,0,2001-02-03,2001,2
373,34,22,0,0,0,0,0,1,14,7,0,0,2001-02-03,2001,2
374,35,47,0,2,7,10,1,6,15,6,0,0,2001-02-03,2001,2
375,36,52,0,0,0,7,6,1,11,25,2,0,2001-02-10,2001,2
376,37,50,0,0,0,2,4,0,23,14,7,0,2001-02-10,2001,2
377,38,69,0,0,0,3,3,2,22,36,2,1,2001-02-10,2001,2
378,39,86,0,1,4,19,47,14,0,0,1,0,2001-02-10,2001,2
379,40,38,0,0,0,1,0,1,15,15,6,0,2001-02-10,2001,2
380,41,107,0,0,0,9,11,13,31,33,10,0,2001-02-15,2001,2
381,42,53,0,0,0,4,1,0,15,25,7,1,2001-02-15,2001,2
382,43,63,0,0,0,1,0,3,25,27,7,0,2001-02-15,2001,2
383,44,50,0,0,0,0,0,1,23,21,5,0,2001-02-15,2001,2
384,45,55,0,0,0,3,6,5,18,18,5,0,2001-02-15,2001,2
385,1001,12,0,4,3,0,1,4,0,0,0,0,2001-12-05,2001,12
386,1002,50,20,15,2,2,2,0,0,5,4,0,2001-12-05,2001,12
387,1003,0,0,0,0,0,0,0,0,0,0,0,2001-12-05,2001,12
388,1004,3,0,0,1,0,1,1,0,0,0,0,2001-12-05,2001,12
389,1005,51,0,0,1,4,18,16,9,3,0,0,2001-12-28,2001,12
390,1006,46,0,0,0,1,9,10,11,14,1,0,2001-12-28,2001,12
391,1007,47,0,3,3,1,12,14,6,7,1,0,2001-12-28,2001,12
392,1008,4,0,0,0,0,0,1,1,2,0,0,2001-12-28,2001,12
393,1009,40,0,0,0,0,5,22,10,3,0,0,2001-12-28,2001,12
394,1010,0,0,0,0,0,0,0,0,0,0,0,2002-01-07,2002,1
395,1011,29,0,0,1,2,17,5,2,2,0,0,2002-01-07,2002,1
396,1012,50,0,2,6,16,15,11,0,0,0,0,2002-01-07,2002,1
397,1013,55,1,4,14,4,22,3,3,4,0,0,2002-01-07,2002,1
398,1014,20,0,0,1,5,10,4,0,0,0,0,2002-01-07,2002,1
399,1015,36,0,0,3,16,8,5,2,2,0,0,2002-01-15,2002,1
400,1016,51,0,0,0,4,26,16,3,2,0,0,2002-01-15,2002,1
401,1017,60,0,0,0,1,2,5,32,19,1,0,2002-01-15,2002,1
402,1018,50,0,0,1,5,7,16,6,8,7,0,2002-01-15,2002,1
403,1019,121,0,0,3,23,53,25,12,5,0,0,2002-01-15,2002,1
404,1020,59,0,0,1,3,4,11,22,16,2,0,2002-01-21,2002,1
405,1021,29,0,0,2,2,5,2,9,4,5,0,2002-01-21,2002,1
406,1022,50,0,0,0,1,4,5,14,22,4,0,2002-01-21,2002,1
407,1023,43,0,0,2,7,12,7,5,7,2,1,2002-01-21,2002,1
408,1024,25,0,2,3,9,7,0,0,3,1,0,2002-01-21,2002,1
409,1025,112,0,2,2,16,53,17,10,11,1,0,2002-01-31,2002,1
410,1026,45,0,0,0,0,2,7,18,14,4,0,2002-01-31,2002,1
411,1027,54,0,0,1,5,20,10,13,3,2,0,2002-01-31,2002,1
412,1028,20,0,3,1,0,4,0,4,6,2,0,2002-01-31,2002,1
413,1029,52,0,0,0,2,8,4,9,22,7,0,2002-01-31,2002,1
414,1030,7,0,0,0,1,1,1,0,4,0,0,2002-02-09,2002,2
415,1031,56,0,0,4,6,3,3,16,18,6,0,2002-02-09,2002,2
416,1032,57,0,2,2,5,11,10,17,9,1,0,2002-02-09,2002,2
417,1033,43,0,0,0,9,23,10,1,0,0,0,2002-02-09,2002,2
418,1034,60,0,1,6,24,17,7,2,3,0,0,2002-02-09,2002,2
419,1035,58,0,1,6,19,25,5,2,0,0,0,2002-02-22,2002,2
420,1036,0,0,0,0,0,0,0,0,0,0,0,2002-02-22,2002,2
421,1037,85,0,0,2,13,32,28,10,0,0,0,2002-02-22,2002,2
422,2001,50,0,2,3,26,18,1,0,0,0,0,2002-12-10,2002,12
423,2002,67,0,0,8,31,23,5,0,0,0,0,2002-12-10,2002,12
424,2003,50,1,1,7,23,16,2,0,0,0,0,2002-12-10,2002,12
425,2004,50,0,0,3,33,12,2,0,0,0,0,2002-12-10,2002,12
426,2005,57,0,1,14,30,10,2,0,0,0,0,2002-12-10,2002,12
427,2006,61,0,1,2,28,26,3,1,0,0,0,2002-12-22,2002,12
428,2007,0,0,0,0,0,0,0,0,0,0,0,2002-12-22,2002,12
429,2008,50,0,4,4,30,10,1,1,0,0,0,2002-12-22,2002,12
430,2009,50,0,0,1,24,16,5,4,0,0,0,2002-12-22,2002,12
431,2010,51,0,0,9,29,13,0,0,0,0,0,2002-12-22,2002,12
432,2011,53,0,3,4,15,22,6,1,2,0,0,2002-12-29,2002,12
433,2012,50,0,1,8,34,7,0,0,0,0,0,2002-12-29,2002,12
434,2013,29,7,2,7,13,0,0,0,0,0,0,2002-12-29,2002,12
435,2014,50,0,1,7,24,16,2,0,0,0,0,2002-12-29,2002,12
436,2015,52,0,1,14,23,11,1,2,0,0,0,2002-12-29,2002,12
437,2016,14,0,2,2,6,2,1,1,0,0,0,2003-01-05,2003,1
438,2017,51,0,0,1,28,19,3,0,0,0,0,2003-01-05,2003,1
439,2018,73,1,6,7,3,8,24,18,6,0,0,2003-01-05,2003,1
440,2019,56,0,1,8,40,7,0,0,0,0,0,2003-01-05,2003,1
441,2020,77,0,2,12,53,10,0,0,0,0,0,2003-01-05,2003,1
442,2021,79,0,1,10,48,16,4,0,0,0,0,2003-01-15,2003,1
443,2022,117,1,2,7,35,39,22,7,4,0,0,2003-01-15,2003,1
444,2023,90,0,5,14,33,25,13,0,0,0,0,2003-01-15,2003,1
445,2024,138,0,0,3,23,36,44,19,13,0,0,2003-01-15,2003,1
446,2025,79,0,3,5,25,33,11,2,0,0,0,2003-01-27,2003,1
447,2026,88,0,2,5,43,33,5,0,0,0,0,2003-01-27,2003,1
448,2027,126,0,12,29,55,25,5,0,0,0,0,2003-01-27,2003,1
449,2028,94,0,0,3,42,44,4,1,0,0,0,2003-01-27,2003,1
450,2029,51,0,0,2,31,14,3,1,0,0,0,2003-01-27,2003,1
451,2030,131,0,0,24,35,40,25,7,0,0,0,2003-02-10,2003,2
452,2031,93,0,1,1,12,30,41,8,0,0,0,2003-02-10,2003,2
453,2032,53,0,0,1,3,14,24,11,0,0,0,2003-02-10,2003,2
454,2033,75,0,0,0,3,23,30,18,1,0,0,2003-02-10,2003,2
455,3001,56,0,0,0,9,30,14,3,0,0,0,2004-01-15,2004,1
456,3002,56,0,0,1,17,24,13,1,0,0,0,2004-01-15,2004,1
457,3003,60,0,0,0,6,26,22,6,0,0,0,2004-01-15,2004,1
458,3004,54,0,0,0,21,23,9,1,0,0,0,2004-01-15,2004,1
459,3005,64,0,0,0,10,33,19,2,0,0,0,2004-01-15,2004,1
460,3006,68,0,0,0,3,33,24,6,2,0,0,2004-01-25,2004,1
461,3007,55,0,0,1,9,31,13,1,0,0,0,2004-01-25,2004,1
462,3008,62,0,0,3,26,29,4,0,0,0,0,2004-01-25,2004,1
463,3009,56,0,0,0,6,23,23,4,0,0,0,2004-01-25,2004,1
464,3010,51,0,0,0,11,28,12,0,0,0,0,2004-01-25,2004,1
465,3011,61,0,0,1,4,27,22,7,0,0,0,2004-02-05,2004,2
466,3012,29,0,0,0,8,8,9,4,0,0,0,2004-02-05,2004,2
467,3013,9,0,0,0,0,4,1,4,0,0,0,2004-02-05,2004,2
468,3014,54,0,0,1,4,21,15,10,3,0,0,2004-02-05,2004,2
469,3015,24,0,0,0,2,5,10,7,0,0,0,2004-02-05,2004,2
470,4001,50,0,0,0,0,2,23,24,1,0,0,2005-01-12,2005,1
471,4002,63,0,0,1,0,5,12,39,6,0,0,2005-01-12,2005,1
472,4003,67,0,1,0,0,7,42,17,0,0,0,2005-01-12,2005,1
473,4004,51,0,0,0,0,7,28,14,2,0,0,2005-01-12,2005,1
474,4005,51,0,0,0,0,4,25,22,0,0,0,2005-01-12,2005,1
475,4006,53,0,0,0,0,0,28,25,0,0,0,2005-01-21,2005,1
476,4007,34,0,0,1,0,1,24,7,1,0,0,2005-01-21,2005,1
477,4008,52,0,0,0,0,1,13,29,8,1,0,2005-01-21,2005,1
478,4009,51,0,0,0,1,3,33,14,0,0,0,2005-01-21,2005,1
479,4010,42,0,0,0,2,3,24,11,2,0,0,2005-01-21,2005,1
480,4011,43,0,0,1,4,5,22,11,0,0,0,2005-02-01,2005,2
481,4012,27,0,1,0,1,7,15,3,0,0,0,2005-02-01,2005,2
482,4013,59,0,0,0,0,6,34,17,2,0,0,2005-02-01,2005,2
483,4014,56,0,0,0,0,6,22,25,3,0,0,2005-02-01,2005,2
484,4015,52,0,1,0,0,2,26,21,2,0,0,2005-02-01,2005,2
485,5001,0,0,0,0,0,0,0,0,0,0,0,2005-12-27,2005,12
486,5002,6,0,0,0,0,0,0,3,3,0,0,2005-12-27,2005,12
487,5003,50,0,0,0,0,0,8,29,13,0,0,2005-12-27,2005,12
488,5004,50,0,0,0,0,1,14,30,5,0,0,2005-12-27,2005,12
489,5005,51,0,0,0,0,1,6,33,11,0,0,2005-12-27,2005,12
490,5006,50,0,0,0,0,0,5,28,17,0,0,2005-12-27,2005,12
491,5007,50,0,0,0,0,0,7,27,16,0,0,2006-01-11,2006,1
492,5008,50,0,0,0,0,0,3,14,26,7,0,2006-01-11,2006,1
493,5009,0,0,0,0,0,0,0,0,0,0,0,2006-01-11,2006,1
494,5010,75,0,4,0,3,5,10,30,20,3,0,2006-01-11,2006,1
495,5011,54,0,0,0,0,2,10,18,23,1,0,2006-01-11,2006,1
496,5012,0,0,0,0,0,0,0,0,0,0,0,2006-01-25,2006,1
497,5013,0,0,0,0,0,0,0,0,0,0,0,2006-01-25,2006,1
498,5014,73,0,0,0,0,1,9,27,31,5,0,2006-01-30,2006,1
499,5015,73,0,0,0,1,1,8,34,26,3,0,2006-01-30,2006,1
500,6001,40,0,5,9,1,4,10,10,1,0,0,2007-01-06,2007,1
501,6002,50,0,14,9,3,2,10,8,4,0,0,2007-01-06,2007,1
502,6003,50,1,12,14,4,9,10,0,0,0,0,2007-01-06,2007,1
503,6004,51,2,18,24,5,0,1,0,1,0,0,2007-01-06,2007,1
504,6005,44,0,0,0,0,6,11,19,7,1,0,2007-01-06,2007,1
505,6006,50,1,0,12,10,12,9,4,2,0,0,2007-01-13,2007,1
506,6007,50,0,4,23,4,3,10,3,3,0,0,2007-01-13,2007,1
507,6008,56,1,9,9,2,6,13,13,3,0,0,2007-01-13,2007,1
508,6009,50,0,0,3,0,4,29,13,1,0,0,2007-01-13,2007,1
509,6010,52,0,3,18,2,4,23,2,0,0,0,2007-01-13,2007,1
510,6011,50,0,0,0,2,2,11,27,6,2,0,2007-01-19,2007,1
511,6012,51,0,0,4,5,6,22,7,6,1,0,2007-01-19,2007,1
512,6013,51,0,1,8,13,6,11,11,1,0,0,2007-01-19,2007,1
513,6014,50,0,2,11,14,7,13,2,0,1,0,2007-01-19,2007,1
514,6015,52,0,0,12,13,5,13,9,0,0,0,2007-01-19,2007,1
515,6016,56,0,1,23,16,3,3,6,4,0,0,2007-01-26,2007,1
516,6017,50,0,0,1,1,1,8,20,15,4,0,2007-01-26,2007,1
517,6018,58,0,0,0,0,0,1,19,28,10,0,2007-01-26,2007,1
518,6019,52,0,2,11,7,1,6,9,16,0,0,2007-01-26,2007,1
519,6020,50,0,1,11,11,7,13,7,0,0,0,2007-01-26,2007,1
520,6021,56,0,1,26,21,2,1,1,2,2,0,2007-02-02,2007,2
521,6022,51,0,0,11,6,1,2,19,11,1,0,2007-02-02,2007,2
522,6023,51,0,0,2,21,5,7,8,5,3,0,2007-02-02,2007,2
523,6024,50,0,1,6,2,1,9,11,17,3,0,2007-02-02,2007,2
524,6025,50,0,2,5,13,7,5,9,8,1,0,2007-02-02,2007,2
525,7001,50,0,0,1,12,20,14,3,0,0,0,2008-01-04,2008,1
526,7002,50,0,0,0,3,6,20,13,7,1,0,2008-01-04,2008,1
527,7003,50,0,1,1,8,19,13,8,0,0,0,2008-01-04,2008,1
528,7004,48,0,0,0,6,20,13,7,2,0,0,2008-01-04,2008,1
529,7005,50,0,0,0,9,14,18,4,4,1,0,2008-01-04,2008,1
530,7006,52,0,0,1,18,31,1,1,0,0,0,2008-01-11,2008,1
531,7007,50,0,2,0,13,28,7,0,0,0,0,2008-01-11,2008,1
532,7008,51,0,2,4,35,4,6,0,0,0,0,2008-01-11,2008,1
533,7009,50,0,1,0,9,26,12,1,1,0,0,2008-01-11,2008,1
534,7010,53,0,1,4,25,21,1,1,0,0,0,2008-01-11,2008,1
535,7011,50,0,2,2,24,19,3,0,0,0,0,2008-01-18,2008,1
536,7012,44,0,0,0,4,6,11,15,8,0,0,2008-01-18,2008,1
537,7013,50,0,3,0,12,33,2,0,0,0,0,2008-01-18,2008,1
538,7014,51,0,1,4,22,20,4,0,0,0,0,2008-01-18,2008,1
539,7015,44,0,0,1,3,16,16,6,1,0,1,2008-01-18,2008,1
540,7016,52,0,10,10,9,12,8,3,0,0,0,2008-01-27,2008,1
541,7017,50,0,1,3,1,12,26,6,1,0,0,2008-01-27,2008,1
542,7018,50,0,2,1,8,25,9,3,2,0,0,2008-01-27,2008,1
543,7019,51,0,0,2,8,20,13,7,1,0,0,2008-01-27,2008,1
544,7020,50,0,3,0,7,20,15,2,1,2,0,2008-01-27,2008,1
545,7021,50,0,2,12,11,13,11,1,0,0,0,2008-02-02,2008,2
546,7022,50,0,2,9,6,24,8,1,0,0,0,2008-02-02,2008,2
547,7023,51,0,0,9,10,22,10,0,0,0,0,2008-02-02,2008,2
548,7024,50,0,0,1,4,19,20,6,0,0,0,2008-02-02,2008,2
549,7025,58,1,4,9,5,20,14,5,0,0,0,2008-02-02,2008,2
550,8001,50,0,0,6,20,18,4,1,1,0,0,2009-01-07,2009,1
551,8002,50,0,0,3,8,15,15,6,3,0,0,2009-01-07,2009,1
552,8003,50,0,0,2,8,24,9,5,2,0,0,2009-01-19,2009,1
553,8004,3,0,0,1,1,1,0,0,0,0,0,2009-01-19,2009,1
554,8005,50,0,0,0,5,16,6,10,12,1,0,2009-01-19,2009,1
555,8006,52,0,0,1,17,11,5,6,8,4,0,2009-01-19,2009,1
556,8007,50,0,0,7,13,19,7,1,3,0,0,2009-01-19,2009,1
557,8008,12,0,0,1,1,2,5,2,1,0,0,2009-01-26,2009,1
558,8009,10,0,0,0,1,4,3,2,0,0,0,2009-01-26,2009,1
559,8010,6,0,0,2,3,0,1,0,0,0,0,2009-01-26,2009,1
560,8011,40,2,1,5,6,9,12,5,0,0,0,2009-01-26,2009,1
561,8012,24,0,0,0,2,6,10,6,0,0,0,2009-01-26,2009,1
562,8013,34,0,0,0,7,16,6,3,2,0,0,2009-02-02,2009,2
563,8014,40,0,0,0,2,7,10,15,5,1,0,2009-02-02,2009,2
564,8015,50,0,0,0,5,14,6,14,10,1,0,2009-02-02,2009,2
565,8016,41,0,0,0,1,5,8,18,9,0,0,2009-02-02,2009,2
566,8017,49,0,0,0,2,20,11,13,3,0,0,2009-02-02,2009,2
567,9001,22,0,0,0,1,4,6,11,0,0,0,2010-01-03,2010,1
568,9002,35,0,0,0,1,3,17,14,0,0,0,2010-01-03,2010,1
569,9003,26,0,0,0,0,5,11,9,1,0,0,2010-01-03,2010,1
570,9004,72,0,3,13,18,8,10,15,5,0,0,2010-01-12,2010,1
571,9005,40,0,0,0,0,1,18,17,4,0,0,2010-01-12,2010,1
572,9006,79,0,0,2,4,9,26,35,3,0,0,2010-01-12,2010,1
573,9007,41,0,0,1,0,4,14,16,6,0,0,2010-01-12,2010,1
574,9008,88,0,5,37,24,1,8,11,2,0,0,2010-01-12,2010,1
575,9009,88,0,0,1,3,1,19,51,13,0,0,2010-01-19,2010,1
576,9010,45,0,0,0,0,0,7,28,10,0,0,2010-01-19,2010,1
577,9011,47,0,0,0,1,3,15,23,5,0,0,2010-01-19,2010,1
578,9012,56,0,0,0,0,2,12,39,3,0,0,2010-01-19,2010,1
579,9013,53,0,0,0,0,1,14,25,12,1,0,2010-01-19,2010,1
580,9014,52,0,0,0,4,0,17,23,8,0,0,2010-01-26,2010,1
581,9015,29,0,0,1,2,0,8,14,4,0,0,2010-01-26,2010,1
582,9016,37,0,1,0,1,2,10,15,8,0,0,2010-01-26,2010,1
583,9017,29,0,0,6,5,4,3,9,2,0,0,2010-01-26,2010,1
584,9018,115,0,0,3,24,12,7,40,26,3,0,2010-01-26,2010,1
585,9019,14,0,1,3,4,1,1,3,1,0,0,2010-02-04,2010,2
586,9020,75,0,0,2,9,6,28,25,5,0,0,2010-02-04,2010,2
587,9021,99,0,1,4,16,10,11,39,18,0,0,2010-02-04,2010,2
588,9022,85,0,0,0,4,4,19,44,13,1,0,2010-02-04,2010,2
589,9023,35,0,0,3,11,2,0,14,5,0,0,2010-02-04,2010,2
590,10001,24,1,9,9,0,1,4,0,0,0,0,2011-01-01,2011,1
591,10002,1,0,0,0,0,0,0,0,0,1,0,2011-01-01,2011,1
592,10003,4,0,0,0,0,0,1,2,1,0,0,2011-01-01,2011,1
593,10004,7,0,0,0,0,0,3,1,3,0,0,2011-01-01,2011,1
594,10005,54,0,0,0,0,0,5,15,22,12,0,2011-01-01,2011,1
595,10006,1,0,0,0,0,0,0,0,1,0,0,2011-01-07,2011,1
596,10007,60,0,0,0,0,0,2,13,36,9,0,2011-01-07,2011,1
597,10008,4,0,0,0,0,0,1,1,2,0,0,2011-01-07,2011,1
598,10009,82,0,5,31,26,4,2,8,5,1,0,2011-01-07,2011,1
599,10010,65,2,12,17,5,0,10,9,9,1,0,2011-01-07,2011,1
600,10011,94,0,6,52,34,1,0,1,0,0,0,2011-01-15,2011,1
601,10012,104,0,5,21,65,4,3,1,4,1,0,2011-01-15,2011,1
602,10013,49,0,0,0,0,0,5,23,15,6,0,2011-01-15,2011,1
603,10014,55,0,4,13,11,4,6,13,4,0,0,2011-01-15,2011,1
604,10015,102,0,6,17,10,0,5,31,32,1,0,2011-01-15,2011,1
605,10016,46,0,0,17,19,4,2,2,2,0,0,2011-01-21,2011,1
606,10017,33,0,0,2,5,4,1,8,12,1,0,2011-01-21,2011,1
607,10018,95,0,2,35,44,6,2,3,2,1,0,2011-01-21,2011,1
608,10019,56,0,5,25,19,3,0,4,0,0,0,2011-01-21,2011,1
609,10020,53,0,0,3,10,3,4,14,15,4,0,2011-01-21,2011,1
610,10021,95,0,0,0,1,0,3,46,41,4,0,2011-01-27,2011,1
611,10022,10,0,1,0,0,0,0,4,5,0,0,2011-01-27,2011,1
612,10023,29,0,0,0,1,1,2,12,8,5,0,2011-01-27,2011,1
613,10024,84,0,0,9,42,7,1,17,7,1,0,2011-01-27,2011,1
614,10025,29,0,0,0,0,1,3,14,11,0,0,2011-01-27,2011,1
615,11001,46,0,0,0,5,29,12,0,0,0,0,2012-01-08,2012,1
616,11002,80,0,0,1,0,26,25,13,12,3,0,2012-01-08,2012,1
617,11003,22,0,0,0,0,3,16,1,2,0,0,2012-01-08,2012,1
618,11004,70,0,1,0,6,28,28,6,1,0,0,2012-01-08,2012,1
619,11005,52,0,0,0,1,6,29,14,1,1,0,2012-01-08,2012,1
620,11006,36,0,0,2,6,15,12,1,0,0,0,2012-01-19,2012,1
621,11007,68,0,0,0,5,24,32,7,0,0,0,2012-01-19,2012,1
622,11008,61,0,2,1,8,27,22,1,0,0,0,2012-01-19,2012,1
623,11009,55,1,2,0,8,18,20,5,1,0,0,2012-01-19,2012,1
624,11010,80,25,39,4,6,3,2,1,0,0,0,2012-01-19,2012,1
625,11011,77,0,0,0,3,28,38,8,0,0,0,2012-01-26,2012,1
626,11012,96,38,41,4,0,5,8,0,0,0,0,2012-01-26,2012,1
627,11013,105,2,1,7,22,42,27,4,0,0,0,2012-01-26,2012,1
628,11014,51,0,5,3,4,19,14,4,2,0,0,2012-01-26,2012,1
629,11015,44,1,2,3,1,22,14,1,0,0,0,2012-01-26,2012,1
630,12001,93,0,1,40,41,9,2,0,0,0,0,2013-01-03,2013,1
631,12002,75,0,1,26,43,3,2,0,0,0,0,2013-01-03,2013,1
632,12003,57,0,1,11,39,5,1,0,0,0,0,2013-01-03,2013,1
633,12004,69,0,2,21,41,4,1,0,0,0,0,2013-01-03,2013,1
634,12005,0,0,0,0,0,0,0,0,0,0,0,2013-01-03,2013,1
635,12006,101,0,2,39,50,8,0,2,0,0,0,2013-01-09,2013,1
636,12007,51,0,0,23,24,1,2,1,0,0,0,2013-01-09,2013,1
637,12008,72,1,1,24,35,10,1,0,0,0,0,2013-01-09,2013,1
638,12009,66,0,0,17,30,16,3,0,0,0,0,2013-01-09,2013,1
639,12010,113,0,0,25,52,31,5,0,0,0,0,2013-01-09,2013,1
640,12011,81,0,0,14,32,30,4,1,0,0,0,2013-01-16,2013,1
641,12012,109,0,1,37,62,7,1,1,0,0,0,2013-01-16,2013,1
642,12013,73,0,1,13,40,19,0,0,0,0,0,2013-01-16,2013,1
643,12014,54,0,0,13,37,4,0,0,0,0,0,2013-01-16,2013,1
644,12015,75,0,0,9,48,15,3,0,0,0,0,2013-01-16,2013,1
645,12016,106,0,0,10,72,15,7,2,0,0,0,2013-01-23,2013,1
646,12017,50,0,2,4,35,4,2,3,0,0,0,2013-01-23,2013,1
647,12018,108,0,0,35,57,13,3,0,0,0,0,2013-01-23,2013,1
648,12019,67,0,0,25,40,2,0,0,0,0,0,2013-01-23,2013,1
649,12020,110,0,1,34,56,17,1,1,0,0,0,2013-01-23,2013,1
650,12021,99,0,0,16,57,20,5,1,0,0,0,2013-01-28,2013,1
651,12022,85,0,0,11,54,18,1,1,0,0,0,2013-01-28,2013,1
652,12023,73,0,0,18,50,5,0,0,0,0,0,2013-01-28,2013,1
653,12024,73,0,0,18,38,13,4,0,0,0,0,2013-01-28,2013,1
654,12025,99,0,0,5,46,29,15,4,0,0,0,2013-01-28,2013,1
655,13001,0,0,0,0,0,0,0,0,0,0,0,2014-01-06,2014,1
656,13002,0,0,0,0,0,0,0,0,0,0,0,2014-01-06,2014,1
657,13003,0,0,0,0,0,0,0,0,0,0,0,2014-01-06,2014,1
658,13004,5,0,0,1,1,1,2,0,0,0,0,2014-01-06,2014,1
659,13005,51,0,1,0,1,8,22,18,1,0,0,2014-01-16,2014,1
660,13006,124,1,19,13,21,36,29,5,0,0,0,2014-01-16,2014,1
661,13007,37,0,0,2,2,14,10,9,0,0,0,2014-01-16,2014,1
662,13008,49,0,1,2,4,9,23,10,0,0,0,2014-01-16,2014,1
663,13009,48,0,0,0,4,13,22,8,1,0,0,2014-01-16,2014,1
664,13010,8,0,0,0,1,2,3,2,0,0,0,2014-01-22,2014,1
665,13011,65,0,0,0,3,6,26,23,7,0,0,2014-01-22,2014,1
666,13012,75,0,0,2,4,12,28,29,0,0,0,2014-01-22,2014,1
667,13013,79,0,10,10,9,6,30,14,0,0,0,2014-01-22,2014,1
668,13014,78,1,2,4,8,12,31,19,1,0,0,2014-01-22,2014,1
669,13015,97,0,1,2,1,6,34,49,4,0,0,2014-01-27,2014,1
670,13016,42,0,0,4,6,11,13,7,1,0,0,2014-01-27,2014,1
671,13017,66,0,3,30,16,11,4,2,0,0,0,2014-01-27,2014,1
672,13018,119,0,18,19,18,25,25,13,1,0,0,2014-01-27,2014,1
673,13020,57,0,0,0,3,7,29,18,0,0,0,2014-01-27,2014,1
674,13021,89,0,2,32,16,16,17,4,2,0,0,2014-02-01,2014,2
675,13022,114,0,0,11,8,20,36,36,2,1,0,2014-02-01,2014,2
676,12023,62,0,0,0,1,7,20,25,9,0,0,2014-02-01,2014,2
677,13024,61,0,1,24,11,8,10,6,1,0,0,2014-02-01,2014,2
678,13025,112,0,2,42,27,4,16,20,1,0,0,2014-02-01,2014,2
679,14001,88,0,0,0,1,2,20,53,12,0,0,2015-01-03,2015,1
680,14002,36,2,2,1,1,14,11,2,2,1,0,2015-01-03,2015,1
681,14003,103,1,5,0,15,36,41,5,0,0,0,2015-01-03,2015,1
682,14004,100,0,1,0,3,17,28,44,6,1,0,2015-01-03,2015,1
683,14005,64,0,0,0,1,2,6,40,15,0,0,2015-01-03,2015,1
684,14006,12,0,0,1,1,2,5,3,0,0,0,2015-01-11,2015,1
685,14007,88,0,10,23,3,12,19,21,0,0,0,2015-01-11,2015,1
686,14008,27,0,0,0,0,7,7,12,1,0,0,2015-01-11,2015,1
687,14009,108,0,0,1,0,22,49,33,3,0,0,2015-01-11,2015,1
688,14010,46,0,0,0,0,4,12,25,5,0,0,2015-01-11,2015,1
689,14011,131,0,0,1,0,8,58,59,5,0,0,2015-01-18,2015,1
690,14012,94,0,1,4,0,15,40,30,4,0,0,2015-01-18,2015,1
691,14013,40,0,0,0,1,3,19,17,0,0,0,2015-01-18,2015,1
692,14014,58,0,0,2,2,5,21,23,5,0,0,2015-01-18,2015,1
693,14015,71,0,0,1,1,11,33,22,3,0,0,2015-01-18,2015,1
694,14016,36,0,0,0,0,2,16,16,2,0,0,2015-01-26,2015,1
695,14017,86,0,1,0,0,5,30,44,6,0,0,2015-01-26,2015,1
696,14018,36,0,0,0,0,1,11,23,1,0,0,2015-01-26,2015,1
697,14019,10,0,0,0,0,0,3,6,1,0,0,2015-01-26,2015,1
698,14020,34,0,0,0,4,1,10,18,1,0,0,2015-01-26,2015,1
699,14021,199,0,0,1,0,7,87,92,12,0,0,2015-02-03,2015,2
700,14022,26,0,0,1,0,0,8,14,3,0,0,2015-02-03,2015,2
701,14023,82,0,0,0,0,3,25,43,11,0,0,2015-02-03,2015,2
702,14024,40,0,0,0,0,2,9,21,8,0,0,2015-02-03,2015,2
