site name,ccamlr region,longitude EPSG:4326,latitude EPSG:4326
Haswell Island,58.4.1,93.01,-66.52
Henry Islands,58.4.1,120.6206,-66.8781
Heroina Island,48.1,-54.6083,-63.3944
Hokuro Cove,58.4.2,39.629,-69.213
Holdfast Point (mainland and offshore rocks),48.1,-66.5867,-66.7917
Hollin/Midgley,58.4.1,110.4036,-66.3259
Holl/O'Connor,58.4.1,110.4315,-66.4118
Hope Bay,48.1,-56.9978,-63.3972
Humble Island,48.1,-64.0875,-64.7647
Ifo Island Area,58.4.1,139.728,-66.627
Inexpressible Island,88.1,163.7287,-74.9009
Islet 1 km west of Lavosier Island,48.1,-66.829,-66.122
Islet next to Laktionov Island,48.1,-65.789737,-65.758531
Ivanhoff Head,58.4.1,109.1276,-66.8803
Janet Rock,58.4.1,139.1651,-66.5698
Jingle Island,48.1,-65.3253,-65.4303
Joubin Islands,48.1,-64.3992,-64.7744
Kidson Island,58.4.2,61.187,-67.2144
King Point,48.1,-55.481,-63.16
Kirby Head,58.4.2,46.5372,-67.2726
Kirton/Macklin,58.4.2,63.6378,-67.4907
"Knobble Head, Bransfield Island",48.1,-56.5694,-63.1619
Kuno Point,48.1,-67.1603,-66.3978
Kuzira Point,58.4.2,38.2667,-69.6
Lagotellerie Island,48.1,-67.4017,-67.8869
Lauff Island,88.2,-126.7749,-73.2325
Lewis Island,58.4.1,134.3849,-66.1051
Lindsay Islands,88.3,-103.1829,-73.6094
Lions Rump,48.1,-58.1229,-62.1331
Litchfield Island,48.1,-64.0919,-64.7708
Llano Point,48.1,-58.446,-62.176
Long Peninsula Island,58.4.2,78.324,-68.4163
Lovill Bluff,88.2,-127.4361,-73.538
Low Tongue,58.4.2,61.9906,-67.5456
MacKellar Islands,58.4.1,142.65,-66.967
Madder Cliff Island,48.1,-56.499,-63.306
Madder Cliff (Joinville Island),48.1,-56.4831,-63.2989
Maher Island,88.2,-127.0503,-73.1983
Mallory Point,58.4.1,108.6433,-66.83
Mame-zima,58.4.2,39.4833,-69.0167
Mandible Cirque,88.1,169.25,-73.117
Mawson Coast (excl. Bechervaise Island),58.4.2,62.9406,-67.5563
McDonald Point,58.4.2,59.6654,-67.3427
Meholmen Island,58.4.2,39.4788,-69.0254
Merritt Island,58.4.1,107.1565,-66.4588
Mizukuguri Cove,58.4.2,39.614,-69.197
Mount Biscoe,58.4.2,51.3275,-66.2209
Mount Gleadell,58.4.2,50.44,-66.941
Mount Riiser-Larsen,58.4.2,50.5511,-66.7908
Myall/McMahon,58.4.2,45.7356,-67.6721
Nella/Thalla Islands,88.1,166.0873,-70.6136
Nelly Island,58.4.1,110.1782,-66.2294
