studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9394,1993-11-27,TOR,15,160
PAL9394,1993-11-27,TOR,17,23
PAL9394,1993-11-27,TOR,18,273
PAL9394,1993-11-27,TOR,19,477
PAL9394,1993-11-27,TOR,20,203
PAL9394,1993-11-27,TOR,21,150
PAL9394,1993-11-27,TOR,22,116
PAL9394,1993-11-27,TOR,23,211
PAL9394,1993-11-27,TOR,23.1,28
PAL9394,1993-11-29,CHR,1,202
PAL9394,1993-11-29,CHR,2,63
PAL9394,1993-11-29,CHR,3,137
PAL9394,1993-11-29,CHR,3.1,0
PAL9394,1993-11-29,CHR,4.1,21
PAL9394,1993-11-29,CHR,4.2,0
PAL9394,1993-11-29,CHR,5,33
PAL9394,1993-11-29,CHR,6,107
PAL9394,1993-11-29,CHR,7,323
PAL9394,1993-11-29,CHR,7.1,21
PAL9394,1993-11-29,CHR,7.2,65
PAL9394,1993-11-29,CHR,8,156
PAL9394,1993-11-29,CHR,9.1,32
PAL9394,1993-11-29,CHR,10,9
PAL9394,1993-11-29,COR,1,6
PAL9394,1993-11-29,COR,2,86
PAL9394,1993-11-29,COR,3,34
PAL9394,1993-11-29,COR,4,19
PAL9394,1993-11-29,COR,5,285
PAL9394,1993-11-29,COR,5.1,138
PAL9394,1993-11-29,COR,6,93
PAL9394,1993-11-29,LIT,1,17
PAL9394,1993-11-29,LIT,2,26
PAL9394,1993-11-29,LIT,3,3
PAL9394,1993-11-29,LIT,4,25
PAL9394,1993-11-29,LIT,5,85
PAL9394,1993-11-29,LIT,6,118
PAL9394,1993-11-29,LIT,7,65
PAL9394,1993-11-29,LIT,8,124
PAL9394,1993-11-29,LIT,9,22
PAL9495,1994-11-29,TOR,1,123
PAL9495,1994-11-29,TOR,2,44
PAL9495,1994-11-29,TOR,3,22
PAL9495,1994-11-29,TOR,4,250
PAL9495,1994-11-29,TOR,5,123
PAL9495,1994-11-29,TOR,6,86
PAL9495,1994-11-29,TOR,12,205
PAL9495,1994-11-29,TOR,13,256
PAL9495,1994-11-29,TOR,15,153
PAL9495,1994-11-29,TOR,17,21
PAL9495,1994-11-29,TOR,18,265
PAL9495,1994-11-29,TOR,19,378
PAL9495,1994-11-29,TOR,20,165
PAL9495,1994-11-29,TOR,21,137
PAL9495,1994-11-29,TOR,22,97
PAL9495,1994-11-29,TOR,23,206
PAL9495,1994-11-29,TOR,23.1,28
PAL9495,1994-11-30,HUM,1.1,20
PAL9495,1994-11-30,HUM,1.2,35
PAL9495,1994-11-30,HUM,1.3,10
PAL9495,1994-11-30,HUM,2.1,122
PAL9495,1994-11-30,HUM,2.2,63
PAL9495,1994-11-30,HUM,3,253
PAL9495,1994-11-30,HUM,3.1,5
PAL9495,1994-11-30,HUM,4,148
PAL9495,1994-11-30,HUM,5,320
PAL9495,1994-12-02,LIT,1,14
PAL9495,1994-12-02,LIT,2,26
PAL9495,1994-12-02,LIT,3,0
PAL9495,1994-12-02,LIT,4,20
PAL9495,1994-12-02,LIT,5,68
PAL9495,1994-12-02,LIT,6,98
PAL9495,1994-12-02,LIT,7,62
PAL9495,1994-12-02,LIT,8,112
PAL9495,1994-12-02,LIT,9,25
PAL9495,1994-12-08,COR,1,7
PAL9495,1994-12-08,COR,2,76
PAL9495,1994-12-08,COR,3,32
PAL9495,1994-12-08,COR,4,14
PAL9495,1994-12-08,COR,5,274
PAL9495,1994-12-08,COR,5.1,133
PAL9495,1994-12-08,COR,6,81
PAL9495,1994-12-14,CHR,1,180
PAL9495,1994-12-14,CHR,2,59
PAL9495,1994-12-14,CHR,3,117
PAL9495,1994-12-14,CHR,3.1,0
PAL9495,1994-12-14,CHR,4.1,16
PAL9495,1994-12-14,CHR,4.2,0
PAL9495,1994-12-14,CHR,5,33
PAL9495,1994-12-14,CHR,6,111
PAL9495,1994-12-14,CHR,7,305
PAL9495,1994-12-14,CHR,7.1,19
PAL9495,1994-12-14,CHR,7.2,68
PAL9495,1994-12-14,CHR,8,154
PAL9495,1994-12-14,CHR,9.1,29
PAL9495,1994-12-14,CHR,10,7
PAL9596,1995-11-21,COR,1,8
PAL9596,1995-11-21,COR,2,81
PAL9596,1995-11-21,COR,3,33
PAL9596,1995-11-21,COR,4,17
PAL9596,1995-11-21,COR,5,279
PAL9596,1995-11-21,COR,5.1,129
PAL9596,1995-11-21,COR,6,72
PAL9596,1995-11-21,HUM,1.1,12
PAL9596,1995-11-21,HUM,1.2,30
PAL9596,1995-11-21,HUM,1.3,4
PAL9596,1995-11-21,HUM,2.1,113
PAL9596,1995-11-21,HUM,2.2,58
PAL9596,1995-11-21,HUM,3,255
PAL9596,1995-11-21,HUM,3.1,6
PAL9596,1995-11-21,HUM,4,132
PAL9596,1995-11-21,HUM,5,287
PAL9596,1995-11-21,LIT,1,12
PAL9596,1995-11-21,LIT,2,25
PAL9596,1995-11-21,LIT,3,0
PAL9596,1995-11-21,LIT,4,18
PAL9596,1995-11-21,LIT,5,66
PAL9596,1995-11-21,LIT,6,95
PAL9596,1995-11-21,LIT,7,60
PAL9596,1995-11-21,LIT,8,109
PAL9596,1995-11-21,LIT,9,25
PAL9596,1995-11-21,TOR,1,99
PAL9596,1995-11-21,TOR,2,33
PAL9596,1995-11-21,TOR,3,20
PAL9596,1995-11-21,TOR,4,237
PAL9596,1995-11-21,TOR,5,113
PAL9596,1995-11-21,TOR,6,72
PAL9596,1995-11-21,TOR,12,209
PAL9596,1995-11-21,TOR,13,219
PAL9596,1995-11-21,TOR,15,146
PAL9596,1995-11-21,TOR,17,18
PAL9596,1995-11-21,TOR,18,258
PAL9596,1995-11-21,TOR,19,517
PAL9596,1995-11-21,TOR,20,178
PAL9596,1995-11-21,TOR,21,126
PAL9596,1995-11-21,TOR,22,89
PAL9596,1995-11-21,TOR,23,205
PAL9596,1995-11-21,TOR,23.1,24
PAL9596,1995-11-22,CHR,1,208
PAL9596,1995-11-22,CHR,2,61
PAL9596,1995-11-22,CHR,3,70
PAL9596,1995-11-22,CHR,3.1,49
PAL9596,1995-11-22,CHR,4.1,7
PAL9596,1995-11-22,CHR,4.2,7
PAL9596,1995-11-22,CHR,5,41
PAL9596,1995-11-22,CHR,6,106
PAL9596,1995-11-22,CHR,7,307
PAL9596,1995-11-22,CHR,7.1,24
PAL9596,1995-11-22,CHR,7.2,66
PAL9596,1995-11-22,CHR,8,156
PAL9596,1995-11-22,CHR,9.1,35
PAL9596,1995-11-22,CHR,10,6
PAL9697,1996-11-18,TOR,17,10
PAL9697,1996-11-18,TOR,18,218
PAL9697,1996-11-18,TOR,19,396
PAL9697,1996-11-18,TOR,20,139
PAL9697,1996-11-18,TOR,21,89
PAL9697,1996-11-18,TOR,22,64
PAL9697,1996-11-19,HUM,1.1,2
PAL9697,1996-11-19,HUM,1.2,16
PAL9697,1996-11-19,HUM,1.3,4
PAL9697,1996-11-19,HUM,2.1,98
PAL9697,1996-11-19,HUM,2.2,48
PAL9697,1996-11-19,HUM,3,197
PAL9697,1996-11-19,HUM,3.1,2
PAL9697,1996-11-19,HUM,4,102
PAL9697,1996-11-19,HUM,5,236
PAL9697,1996-11-19,LIT,1,10
PAL9697,1996-11-19,LIT,2,19
PAL9697,1996-11-19,LIT,3,0
PAL9697,1996-11-19,LIT,4,18
PAL9697,1996-11-19,LIT,5,60
PAL9697,1996-11-19,LIT,6,85
PAL9697,1996-11-19,LIT,7,47
PAL9697,1996-11-19,LIT,8,90
PAL9697,1996-11-19,LIT,9,17
PAL9697,1996-11-19,TOR,1,71
PAL9697,1996-11-19,TOR,2,19
PAL9697,1996-11-19,TOR,3,8
PAL9697,1996-11-19,TOR,4,162
PAL9697,1996-11-19,TOR,5,71
PAL9697,1996-11-19,TOR,6,37
PAL9697,1996-11-19,TOR,13,188
PAL9697,1996-11-19,TOR,23,174
PAL9697,1996-11-19,TOR,23.1,18
PAL9697,1996-11-20,TOR,12,177
PAL9697,1996-11-20,TOR,15,110
PAL9697,1996-11-22,CHR,1,171
PAL9697,1996-11-22,CHR,2,48
PAL9697,1996-11-22,CHR,3,58
PAL9697,1996-11-22,CHR,3.1,41
PAL9697,1996-11-22,CHR,4.1,5
PAL9697,1996-11-22,CHR,4.2,6
PAL9697,1996-11-22,CHR,5,37
PAL9697,1996-11-22,CHR,6,88
PAL9697,1996-11-22,CHR,7,264
PAL9697,1996-11-22,CHR,7.1,17
PAL9697,1996-11-22,CHR,7.2,52
PAL9697,1996-11-22,CHR,8,141
PAL9697,1996-11-22,CHR,9.1,30
PAL9697,1996-11-22,CHR,10,6
PAL9697,1996-11-22,COR,1,4
PAL9697,1996-11-22,COR,2,72
PAL9697,1996-11-22,COR,3,33
PAL9697,1996-11-22,COR,4,11
PAL9697,1996-11-22,COR,5,245
PAL9697,1996-11-22,COR,5.1,123
PAL9697,1996-11-22,COR,6,58
PAL9798,1997-11-23,CHR,1,129
PAL9798,1997-11-23,CHR,2,33
PAL9798,1997-11-23,CHR,3,49
PAL9798,1997-11-23,CHR,3.1,29
PAL9798,1997-11-23,CHR,4.1,4
PAL9798,1997-11-23,CHR,4.2,4
PAL9798,1997-11-23,CHR,5,25
PAL9798,1997-11-23,CHR,6,54
PAL9798,1997-11-23,CHR,7,207
PAL9798,1997-11-23,CHR,7.1,12
PAL9798,1997-11-23,CHR,7.2,40
PAL9798,1997-11-23,CHR,8,59
PAL9798,1997-11-23,CHR,9.1,24
PAL9798,1997-11-23,CHR,10,3
PAL9798,1997-11-23,LIT,1,10
PAL9798,1997-11-23,LIT,2,17
PAL9798,1997-11-23,LIT,3,0
PAL9798,1997-11-23,LIT,4,15
